model_name,model_type,training_data,imagenet_accuracy,perspective_accuracy,depth_accuracy,perspective_accuracy_human,depth_accuracy_human,uniqua_accuracy,uniqua_resize_accuracy,uniqua_padded_accuracy,uniqua_truncated_accuracy,uniqua_crop_square_accuracy,model_input_sizes
deit3_medium_patch16_224.fb_in1k,Transformer,ImageNet 1k,83.086,52.31288981,71.35050742,56.38297872,60.63829787,49.90403071017274,53.00480769230769,52.16346153846154,0.0,59.13461538461539,224.0
deit3_medium_patch16_224.fb_in22k_ft_in1k,Transformer,ImageNet 21k,84.55,51.27338877,68.85245902,51.06382979,62.76595745,49.71209213051823,58.65384615384615,53.84615384615385,0.0,56.49038461538461,224.0
deit3_small_patch16_224.fb_in1k,Transformer,ImageNet 1k,81.37,49.61018711,62.17798595,44.68085106,57.44680851,53.55086372360845,56.97115384615385,48.19711538461539,0.0,52.64423076923077,224.0
deit3_small_patch16_224.fb_in22k_ft_in1k,Transformer,ImageNet 21k,83.076,51.4033264,63.58313817,59.57446809,54.25531915,51.0556621880998,58.17307692307692,58.89423076923077,0.0,55.28846153846154,224.0
densenet121.tv_in1k,CNN,ImageNet 1k,74.764,52.26091476,63.7782982,48.93617021,65.95744681,54.12667946257198,60.9375,52.52403846153846,51.5625,53.125,224.0
densenet161.tv_in1k,CNN,ImageNet 1k,77.358,51.97505198,65.88602654,54.25531915,61.70212766,57.00575815738963,64.42307692307692,55.88942307692308,64.0625,68.02884615384616,224.0
densenet169.tv_in1k,CNN,ImageNet 1k,75.9,50.36382536,63.34894614,58.5106383,57.44680851,54.31861804222648,64.42307692307692,61.77884615384615,62.25961538461539,57.21153846153846,224.0
densenet201.tv_in1k,CNN,ImageNet 1k,77.286,51.01351351,68.85245902,57.44680851,69.14893617,52.39923224568138,57.93269230769231,64.66346153846153,65.5048076923077,66.58653846153847,224.0
dla102.in1k,CNN,ImageNet 1k,78.024,50.07796258,65.69086651,59.57446809,61.70212766,51.24760076775432,54.44711538461539,55.04807692307692,0.0,55.04807692307692,224.0
dla169.in1k,CNN,ImageNet 1k,78.708,50.15592516,67.83762685,50.0,54.25531915,51.631477927063344,60.81730769230769,58.41346153846154,0.0,58.65384615384615,224.0
dla34.in1k,CNN,ImageNet 1k,74.64,50.5977131,63.34894614,50.0,62.76595745,52.783109404990405,55.88942307692308,59.13461538461539,0.0,47.83653846153846,224.0
dla46_c.in1k,CNN,ImageNet 1k,64.872,50.18191268,59.3676815,48.93617021,64.89361702,53.74280230326296,50.36057692307692,50.72115384615385,0.0,49.51923076923077,224.0
dla60.in1k,CNN,ImageNet 1k,77.046,51.79313929,66.47150664,47.87234043,58.5106383,55.08637236084453,62.74038461538461,48.67788461538461,0.0,58.89423076923077,224.0
dpn107.mx_in1k,CNN,ImageNet 1k,80.17,50.75363825,63.70023419,46.80851064,59.57446809,53.55086372360845,59.85576923076923,57.33173076923077,63.70192307692308,70.1923076923077,224.0
